;Filename;ClassId
0;000000_000000.ppm;0
1;000000_000001.ppm;0
2;000000_000002.ppm;0
3;000000_000003.ppm;0
4;000000_000004.ppm;0
5;000000_000005.ppm;0
6;000000_000006.ppm;0
7;000000_000007.ppm;0
8;000000_000008.ppm;0
9;000000_000009.ppm;0
10;000000_000010.ppm;0
11;000000_000011.ppm;0
12;000000_000012.ppm;0
13;000000_000013.ppm;0
14;000000_000014.ppm;0
15;000000_000015.ppm;0
16;000000_000016.ppm;0
17;000000_000017.ppm;0
18;000000_000018.ppm;0
19;000000_000019.ppm;0
20;000000_000020.ppm;0
21;000000_000021.ppm;0
22;000000_000022.ppm;0
23;000000_000023.ppm;0
24;000000_000024.ppm;0
25;000000_000025.ppm;0
26;000000_000026.ppm;0
27;000000_000027.ppm;0
28;000000_000028.ppm;0
29;000000_000029.ppm;0
30;000000_000030.ppm;0
31;000000_000031.ppm;0
32;000000_000032.ppm;0
33;000000_000033.ppm;0
34;000000_000034.ppm;0
35;000000_000035.ppm;0
36;000000_000036.ppm;0
37;000000_000037.ppm;0
38;000000_000038.ppm;0
39;000000_000039.ppm;0
40;000000_000040.ppm;0
41;000000_000041.ppm;0
42;000000_000042.ppm;0
43;000000_000043.ppm;0
44;000000_000044.ppm;0
45;000000_000045.ppm;0
46;000000_000046.ppm;0
47;000000_000047.ppm;0
48;000000_000048.ppm;0
49;000000_000049.ppm;0
50;000000_000050.ppm;0
51;000000_000051.ppm;0
52;000000_000052.ppm;0
53;000000_000053.ppm;0
54;000000_000054.ppm;0
55;000000_000055.ppm;0
56;000000_000056.ppm;0
57;000000_000057.ppm;0
58;000000_000058.ppm;0
59;000000_000059.ppm;0
60;000000_000060.ppm;0
61;000000_000061.ppm;0
62;000000_000062.ppm;0
63;000000_000063.ppm;0
64;000000_000064.ppm;0
65;000000_000065.ppm;0
66;000000_000066.ppm;0
67;000000_000067.ppm;0
68;000000_000068.ppm;0
69;000000_000069.ppm;0
70;000000_000070.ppm;0
71;000000_000071.ppm;0
72;000000_000072.ppm;0
73;000000_000073.ppm;0
74;000000_000074.ppm;0
75;000000_000075.ppm;0
76;000000_000076.ppm;0
77;000000_000077.ppm;0
78;000000_000078.ppm;0
79;000000_000079.ppm;0
80;000000_000080.ppm;0
81;000000_000081.ppm;0
82;000000_000082.ppm;0
83;000000_000083.ppm;0
84;000000_000084.ppm;0
85;000000_000085.ppm;0
86;000000_000086.ppm;0
87;000000_000087.ppm;0
88;000000_000088.ppm;0
89;000000_000089.ppm;0
90;000000_000090.ppm;0
91;000000_000091.ppm;0
92;000000_000092.ppm;0
93;000000_000093.ppm;0
94;000000_000094.ppm;0
95;000000_000095.ppm;0
96;000000_000096.ppm;0
97;000000_000097.ppm;0
98;000000_000098.ppm;0
99;000000_000099.ppm;0
100;000000_000100.ppm;0
101;000000_000101.ppm;0
102;000000_000102.ppm;0
103;000000_000103.ppm;0
104;000000_000104.ppm;0
105;000000_000105.ppm;0
106;000000_000106.ppm;0
107;000000_000107.ppm;0
108;000000_000108.ppm;0
109;000000_000109.ppm;0
110;000000_000110.ppm;0
111;000000_000111.ppm;0
112;000000_000112.ppm;0
113;000000_000113.ppm;0
114;000000_000114.ppm;0
115;000000_000115.ppm;0
116;000000_000116.ppm;0
117;000000_000117.ppm;0
118;000000_000118.ppm;0
119;000000_000119.ppm;0
120;000000_000120.ppm;0
121;000000_000121.ppm;0
122;000000_000122.ppm;0
123;000000_000123.ppm;0
124;000000_000124.ppm;0
125;000000_000125.ppm;0
126;000000_000126.ppm;0
127;000000_000127.ppm;0
128;000000_000128.ppm;0
129;000000_000129.ppm;0
130;000000_000130.ppm;0
131;000000_000131.ppm;0
132;000000_000132.ppm;0
133;000000_000133.ppm;0
134;000000_000134.ppm;0
135;000000_000135.ppm;0
136;000000_000136.ppm;0
137;000000_000137.ppm;0
138;000000_000138.ppm;0
139;000000_000139.ppm;0
140;000000_000140.ppm;0
141;000000_000141.ppm;0
142;000000_000142.ppm;0
143;000000_000143.ppm;0
144;000000_000144.ppm;0
145;000000_000145.ppm;0
146;000000_000146.ppm;0
147;000000_000147.ppm;0
148;000000_000148.ppm;0
149;000000_000149.ppm;0
150;000000_000150.ppm;0
151;000000_000151.ppm;0
152;000000_000152.ppm;0
153;000000_000153.ppm;0
154;000000_000154.ppm;0
155;000000_000155.ppm;0
156;000000_000156.ppm;0
157;000000_000157.ppm;0
158;000000_000158.ppm;0
159;000000_000159.ppm;0
160;000000_000160.ppm;0
161;000000_000161.ppm;0
162;000000_000162.ppm;0
